timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297843.127179,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,143,110,24,16384,103,0.303,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.127436,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,40,110,16,16386,0,0.257,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.127733,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,422,110,24,16386,382,0.298,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.128054,traffic,in,TCP,20.50.88.238,10.129.9.167,443,51346,67,110,24,16386,27,0.321,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.128308,traffic,in,TCP,10.129.9.167,20.50.88.238,51346,443,40,128,16,253,0,0.253,10.129.9.167:51346-20.50.88.238:443-TCP
1777297843.128595,traffic,in,TCP,10.129.9.167,18.97.36.78,54987,443,280,128,24,255,240,87.569,10.129.9.167:54987-18.97.36.78:443-TCP
1777297843.128852,traffic,in,TCP,18.97.36.78,10.129.9.167,443,54987,40,113,16,12282,0,0.256,10.129.9.167:54987-18.97.36.78:443-TCP
1777297843.129143,traffic,in,TCP,18.97.36.78,10.129.9.167,443,54987,158,113,24,12282,118,0.291,10.129.9.167:54987-18.97.36.78:443-TCP
1777297843.129383,traffic,in,TCP,10.129.9.167,18.97.36.78,54987,443,40,128,16,254,0,0.24,10.129.9.167:54987-18.97.36.78:443-TCP
1777297843.129722,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,83,128,0,0,55,15.437,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.130153,traffic,in,UDP,10.129.9.167,149.156.96.8,61146,53,83,128,0,0,55,0.0,10.129.9.167:61146-149.156.96.8:53-UDP
1777297843.131025,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,148,61,0,0,120,1.303,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.131686,traffic,in,UDP,149.156.96.8,10.129.9.167,53,61146,160,61,0,0,132,1.533,10.129.9.167:61146-149.156.96.8:53-UDP
1777297843.131973,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,81,128,0,0,53,0.947,10.129.9.167:57989-149.156.96.8:53-UDP
